Scenario,Waveform,Modulation,Bandwidth_MHz,IBO_dB,Method,NMSE_dB_before,NMSE_dB_during,NMSE_dB_after,EVM_percent_before,EVM_percent_during,EVM_percent_after,ACPR_dBc_before,ACPR_dBc_during,ACPR_dBc_after,NumAdaptations,Runtime_s,Comments,Seed
S5,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-11.3123629715757,-11.5319826004116,-11.3018871972989,27.1882873585403,26.5094593146699,27.2210980661885,-31.095514812049,-31.6671288165155,-32.0096213159829,0,348.073262094,"Online NN-DPD adaptation",8
S6,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-3.39734380280191,-2.42041413682605,-0.308859904103438,67.6289757240755,75.6796810645734,96.506597649959,-15.8700674620731,-16.9147027340139,-11.0864120737296,0,3.933865781,"Dérive combinée thermique + puissance + mémoire + charge",8
S6,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-14.0340403490124,-14.2180365425485,-12.8254216198175,19.8745810462139,19.457998826858,22.8417260735695,-34.888312486697,-35.3299196923188,-29.3708366425479,0,3.96539793,"Static MP-DPD baseline",8
S6,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-14.0311762193606,-14.3551145133778,-12.9605668372904,19.8811356727864,19.1533292492445,22.4890783832264,-34.5589765331355,-35.0840881972501,-29.6183545384801,0,3.97582638,"Static GMP-DPD baseline",8
S6,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-13.9650594053103,-14.6279477548843,-12.5250357497534,20.0330479133116,18.5610530603419,23.6454842442084,-31.5716800050787,-31.1790192502567,-25.3370457216234,0,342.162820467,"Offline NN-DPD with fixed weights",8
S6,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-13.9650594111655,-14.6279477558286,-12.5250357492922,20.0330478998073,18.5610530583239,23.6454842454639,-31.5716799751327,-31.1790192932334,-25.3370457199959,4,349.617206198,"Online NN-DPD adaptation",8
S7,5GNR,256QAM,50,2.92256071356476,No_DPD,-4.13020895766456,-2.15480300232804,-0.376196766573427,62.1569294393013,78.0296843134545,95.7613283345868,-19.4915466625224,-14.2797380612832,-11.9341106505293,0,5.330392288,"Stress test 5G NR avec variation de bande, modulation et numérologie",8
S7,5GNR,256QAM,50,2.92256071356476,MP_DPD,-13.7554798457708,-13.4193218087792,-11.9682667280229,20.5222988549396,21.3321146704847,25.2108021178723,-34.8277295622026,-31.1393287263288,-27.1130442684506,0,5.374600886,"Static MP-DPD baseline",8
S7,5GNR,256QAM,50,2.92256071356476,GMP_DPD,-13.7105038621485,-13.4006288304763,-11.9731832447177,20.6288399743755,21.3780731352527,25.1965359619041,-35.1458252575543,-31.4224250214418,-27.1808273272789,0,5.390921274,"Static GMP-DPD baseline",8
S7,5GNR,256QAM,50,2.92256071356476,NN_DPD_Static,-13.7207282809174,-14.0794561060058,-11.5643030089153,20.6045714403243,19.7709343809053,26.4110002638692,-30.210089558063,-28.9965907552662,-24.5238885553321,0,443.269584063,"Offline NN-DPD with fixed weights",8
S7,5GNR,256QAM,50,2.92256071356476,NN_DPD_Adaptive,-13.7207282806726,-13.8784055889577,-11.4504025752941,20.6045714409048,20.2339056495116,26.7596156434057,-30.2100895580638,-28.8367938968195,-24.3020064353616,7,456.924778359,"Online NN-DPD adaptation",8
S8,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-3.39734380280191,-2.42041413682605,-0.308859904103438,67.6289757240755,75.6796810645734,96.506597649959,-15.8700674620731,-16.9147027340139,-11.0864120737296,0,3.381855321,"Optimisation de la politique d adaptation par RL ou heuristique",8
S8,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-14.0340403490124,-14.2180365425485,-12.8254216198175,19.8745810462139,19.457998826858,22.8417260735695,-34.888312486697,-35.3299196923188,-29.3708366425479,0,3.421172881,"Static MP-DPD baseline",8
S8,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-14.0311762193606,-14.3551145133778,-12.9605668372904,19.8811356727864,19.1533292492445,22.4890783832264,-34.5589765331355,-35.0840881972501,-29.6183545384801,0,3.431438194,"Static GMP-DPD baseline",8
S8,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-13.9650594053103,-14.6279477548843,-12.5250357497534,20.0330479133116,18.5610530603419,23.6454842442084,-31.5716800050787,-31.1790192502567,-25.3370457216234,0,331.082807991,"Offline NN-DPD with fixed weights",8
S8,OFDM-QAM,64QAM,40,2.92256071356476,RL_Adaptive_Policy,-13.8117082316835,-14.7115932424027,-12.6149570323137,20.38987617698,18.3831672268661,23.4019554572144,-31.5600111959204,-31.3404717578113,-25.6233289435964,4,369.779087505,"Online NN-DPD adaptation",8
S0,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.48593668373237,-5.05918813387293,-4.76445916419017,53.1744694995056,55.852239712983,57.7799340480877,-23.4505349535234,-21.4661698568105,-21.0754178673073,0,3.150609213,"Calibration nominale et référence de performance",9
S0,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-20.8722105753953,-20.7090800299579,-20.6467212913536,9.04460221601427,9.21607496052528,9.28247814609965,-35.0366908631482,-34.715272834263,-35.1527301655245,0,3.185980952,"Static MP-DPD baseline",9
S0,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-20.4628774070579,-20.3318290621875,-20.275414050882,9.48104329214107,9.62517306116794,9.68789219587961,-34.9224021995906,-34.6065648469053,-35.010491346787,0,3.19779442,"Static GMP-DPD baseline",9
S0,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-21.0981165945275,-21.1286512842705,-20.4554143786303,8.81239936014362,8.78147432290432,9.48919302752351,-33.1915762993429,-32.7010805308834,-33.0435596961752,0,378.469354472,"Offline NN-DPD with fixed weights",9
S0,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-21.0973021962538,-21.052901940085,-20.2730176173034,8.81322565884046,8.85839216927597,9.69056545033293,-33.1915501875779,-32.6568180625022,-32.9540593918611,5,384.559110046,"Online NN-DPD adaptation",9
S1,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-4.78709710404219,-2.3381102679435,-0.500868757384741,57.6295389051015,76.4001984399725,94.3966456614765,-21.5403113835373,-16.0080310275662,-13.2974886891555,0,3.662224734,"Dérive thermique graduelle du PA",9
S1,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-19.9564729192204,-18.5213296530214,-16.7023036628206,10.050238176327,11.8558724225454,14.6178942873385,-34.7920164908019,-33.6369791961379,-31.9287772087742,0,3.694305119,"Static MP-DPD baseline",9
S1,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-19.6132646554941,-18.3098660504533,-16.6438383480455,10.4553064622159,12.1480535446148,14.7166202222001,-34.6740104673717,-33.5561460723923,-32.0133005867463,0,3.705539287,"Static GMP-DPD baseline",9
S1,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-20.7168299412786,-19.8368190233781,-17.9006191716784,9.20785566319418,10.1896448843915,12.7341230287315,-33.0518589892109,-31.465923824171,-29.8394321200863,0,361.979854164,"Offline NN-DPD with fixed weights",9
S1,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-20.7211570753966,-19.8670302082572,-17.9880436439979,9.20326963861197,10.1542649160673,12.6065954907129,-33.0518572517066,-31.4462283746107,-29.9340629430862,6,370.740287329,"Online NN-DPD adaptation",9
S2,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.48593668373237,-0.805006231521715,-0.242112094917442,53.1744694995056,91.1485340864401,97.2510715511396,-23.4505349535234,-13.3000663680701,-12.8555331910095,0,4.107471471,"Rupture brutale de puissance ou changement d IBO",9
S2,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-20.8722105753953,-12.7657857706279,-15.6964830257843,9.04460221601427,22.9990931110616,16.4125419336452,-35.0366908631482,-31.1407765214838,-30.7679830329372,0,4.158745796,"Static MP-DPD baseline",9
S2,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-20.4628774070579,-12.7248834512779,-15.6793563435026,9.48104329214107,23.1076524772214,16.4449358174697,-34.9224021995906,-31.1502345251222,-30.9276719114097,0,4.16982925,"Static GMP-DPD baseline",9
S2,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-21.0981165945275,-13.0032223885833,-17.0148958791044,8.81239936014362,22.3789074677966,14.1011718729109,-33.1915762993429,-28.1114136437864,-28.7275745101071,0,377.989914943,"Offline NN-DPD with fixed weights",9
S2,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-21.0973021962538,-13.0477028251965,-17.1789829752295,8.81322565884046,22.2645980326265,13.837283892805,-33.1915501875779,-28.2716776880676,-28.8836373847667,7,390.300274974,"Online NN-DPD adaptation",9
S3,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.35385174077477,-4.89149738249407,-4.72227830670298,53.9892647334175,56.9410053626225,58.0612103135176,-23.9558139712177,-20.9788082265054,-21.4372525654867,0,3.251009689,"Variation des effets mémoire du PA",9
S3,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-16.5740446358542,-16.3325988899891,-16.447924817978,14.8353490240134,15.2535192861399,15.0523309734684,-35.7663654617809,-33.9071120177689,-35.8211039257937,0,3.293848362,"Static MP-DPD baseline",9
S3,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-16.3911162350657,-16.2160733067581,-16.2790773144805,15.1511008240383,15.459531718696,15.347800108986,-35.6657578625604,-33.7868711233648,-35.6988772168218,0,3.303897769,"Static GMP-DPD baseline",9
S3,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-16.9206296067605,-16.317346265202,-16.4853418837199,14.2550426053141,15.2803283535518,14.9876280225168,-33.8915355614013,-31.9070163681245,-33.6633595767896,0,366.433892095,"Offline NN-DPD with fixed weights",9
S3,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-16.9206296062962,-16.3173462742479,-16.4853418889419,14.2550426060761,15.2803283376381,14.9876280135063,-33.8915355770747,-31.9070163358797,-33.6633595821592,0,367.931874451,"Online NN-DPD adaptation",9
S4,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-4.89478607043015,-2.64756166682614,-0.748454625364641,56.9194502014507,73.7262113077149,91.7439149652578,-21.6422226259639,-16.2555676688905,-13.3741262728846,0,5.030451425,"Vieillissement lent du PA",9
S4,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-20.4074680787294,-19.4664366498319,-18.0280243857883,9.54171841689574,10.6335473066991,12.5487012685553,-34.7450752929288,-33.5985345759148,-32.1952491771584,0,5.068749287,"Static MP-DPD baseline",9
S4,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-20.0280225309122,-19.1981946072258,-17.9174288872243,9.96778985536023,10.9670612668799,12.7095026389808,-34.6280149277496,-33.5134258173639,-32.243170155414,0,5.082366136,"Static GMP-DPD baseline",9
