Scenario,Waveform,Modulation,Bandwidth_MHz,IBO_dB,Method,NMSE_dB_before,NMSE_dB_during,NMSE_dB_after,EVM_percent_before,EVM_percent_during,EVM_percent_after,ACPR_dBc_before,ACPR_dBc_during,ACPR_dBc_after,NumAdaptations,Runtime_s,Comments,Seed
S7,5GNR,256QAM,50,2.92256071356476,GMP_DPD,-13.7105038621485,-13.4006288304763,-11.9731832447177,20.6288399743755,21.3780731352527,25.1965359619041,-35.1458252575543,-31.4224250214418,-27.1808273272789,0,4.885196731,"Static GMP-DPD baseline",5
S7,5GNR,256QAM,50,2.92256071356476,NN_DPD_Static,-13.7156351541642,-13.9616065158281,-11.3946157435087,20.6166568422403,20.0410132057624,26.932037643829,-30.8512675958556,-28.4743947072708,-24.1384465999338,0,458.125276056,"Offline NN-DPD with fixed weights",5
S7,5GNR,256QAM,50,2.92256071356476,NN_DPD_Adaptive,-13.7067121596705,-13.9486755799302,-11.389027981067,20.6378471690288,20.0708710631635,26.9493689997702,-30.7618071274385,-28.3832677495229,-24.1230527632581,7,470.613655393,"Online NN-DPD adaptation",5
S8,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-4.58039442573758,-1.83387040679132,-0.454342989721592,59.0174279784015,80.9667076026175,94.9036357465556,-20.9505603813444,-16.3034466108874,-12.1624788795018,0,3.543509434,"Optimisation de la politique d adaptation par RL ou heuristique",5
S8,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-13.9652441597389,-13.9662940842256,-12.8740344077092,20.0326218021001,20.0302004647469,22.7142436276834,-34.6214912634333,-33.8952515203818,-30.8213848888708,0,3.577441332,"Static MP-DPD baseline",5
S8,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-13.8861664394316,-13.9100887763918,-12.8646069569019,20.2158347103886,20.1602336526845,22.7389104925812,-34.6627477571136,-33.6423454997259,-30.9297908707817,0,3.58935759,"Static GMP-DPD baseline",5
S8,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-14.0036081894108,-14.6516158081936,-12.6263081459816,19.9443363885822,18.5105451643918,23.371392697492,-32.5044395524693,-32.1496685636406,-27.0299051716793,0,422.993912311,"Offline NN-DPD with fixed weights",5
S8,OFDM-QAM,64QAM,40,2.92256071356476,RL_Adaptive_Policy,-13.7805890164906,-14.7009975670231,-12.6850716390074,20.4630586581937,18.4056060251297,23.213809601054,-32.3502452996442,-32.1299320301325,-27.2729327216766,6,430.613180774,"Online NN-DPD adaptation",5
S0,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-4.66340725669412,-5.45997724630685,-4.89510135821177,58.4560730646658,53.3336292621934,56.9173841285178,-20.4008374639959,-23.1469450798746,-20.4896638479716,0,3.178955126,"Calibration nominale et référence de performance",6
S0,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-20.3287739762743,-20.5452958246456,-20.3003539785454,9.62855911647133,9.39150531810425,9.66011510044171,-35.1305780151791,-36.123413711619,-34.8565633025223,0,3.212422359,"Static MP-DPD baseline",6
S0,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-20.4234029491928,-20.6565621077996,-20.4194008040959,9.52422951604491,9.2719673705393,9.52861894913099,-35.1931973977448,-36.1307389488844,-34.9194537132975,0,3.224014396,"Static GMP-DPD baseline",6
S0,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-20.676576556507,-21.1817959400836,-20.7989245122368,9.25062704920441,8.72790886910096,9.121237716249,-32.3414818513833,-32.8583162971959,-32.4298388653591,0,396.330773136,"Offline NN-DPD with fixed weights",6
S0,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-20.6357145089045,-21.1196137474,-20.7553301543935,9.29424838315548,8.79061606929424,9.1671321554006,-32.2323066570087,-32.7077597592342,-32.2324598084071,0,397.434217606,"Online NN-DPD adaptation",6
S1,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-3.89819355014103,-2.89801828751745,-0.701043871588325,63.8396242987809,71.6306819178833,92.2460559037168,-18.4316153108165,-17.3419146337244,-12.6355196598795,0,4.037589016,"Dérive thermique graduelle du PA",6
S1,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-19.4918886521864,-18.4387189684259,-16.5083493304713,10.6024337492164,11.9691704465559,14.9479808733105,-34.7668716432354,-34.8344391695997,-31.3150751691823,0,4.073395232,"Static MP-DPD baseline",6
S1,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-19.5844295839715,-18.5829837973728,-16.6598261148848,10.4900732502229,11.7720150900402,14.6895568476074,-34.7437673459293,-34.9201735940038,-31.5604542203537,0,4.085146053,"Static GMP-DPD baseline",6
S1,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-20.2146381130546,-19.7910670238561,-17.1272122806828,9.75591694425702,10.2434593612696,13.9200048299566,-32.0069521966852,-31.5533078432478,-27.4223515864389,0,395.661789527,"Offline NN-DPD with fixed weights",6
S1,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-20.178150529502,-19.7466974299475,-17.0594018434522,9.79698568614796,10.295919267231,14.0291031309958,-31.9038468133634,-31.4385348780693,-27.2272722794711,2,398.919226947,"Online NN-DPD adaptation",6
S2,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-4.66340725669412,-1.1613358613475,-0.263422973907296,58.4560730646658,87.484921593931,97.0127579725176,-20.4008374639959,-13.7934660435672,-12.1298451960756,0,3.471710097,"Rupture brutale de puissance ou changement d IBO",6
S2,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-20.3287739762743,-12.831616889661,-15.3257735263446,9.62855911647133,22.8254398659513,17.1281841558081,-35.1305780151791,-32.2935020152281,-30.1035755766365,0,3.507408318,"Static MP-DPD baseline",6
S2,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-20.4234029491928,-12.8924161560552,-15.4834117354442,9.52422951604491,22.6662248250993,16.8201325237402,-35.1931973977448,-32.4825458020714,-30.3719225042292,0,3.518954498,"Static GMP-DPD baseline",6
S2,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-20.676576556507,-12.9798228647628,-15.7511111166114,9.25062704920441,22.4392768473834,16.3096425962814,-32.3414818513833,-28.1681920446094,-25.9641225818388,0,402.538184624,"Offline NN-DPD with fixed weights",6
S2,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-20.6357145089045,-13.3450894422088,-15.5176926989702,9.29424838315548,21.515206953402,16.7538786334736,-32.2323066570087,-27.9014783057812,-25.6364095014365,6,413.76653623,"Online NN-DPD adaptation",6
S3,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-4.55026593866533,-5.27156782759276,-4.76796975185507,59.2224954257419,54.5031507084265,57.7565857733162,-20.8595960282022,-22.661024512317,-21.0287077262356,0,3.42152465,"Variation des effets mémoire du PA",6
S3,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-16.3872218005712,-16.2524139659196,-16.3664235288073,15.1578955453562,15.3949861207502,15.1942344566871,-35.7621884183209,-35.3450246203119,-35.5082882847024,0,3.458864049,"Static MP-DPD baseline",6
S3,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-16.4154112001801,-16.3040845027673,-16.405096328094,15.1087814798908,15.3036764355516,15.126734473531,-35.832958330002,-35.3446399893167,-35.5897168236678,0,3.470272726,"Static GMP-DPD baseline",6
S3,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-16.6902190145695,-16.322035902925,-16.7346985182446,14.6382462677052,15.2720805095414,14.5634769940418,-33.0484647557851,-32.076396741713,-33.1216661502197,0,410.212029657,"Offline NN-DPD with fixed weights",6
S3,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-16.6749778851611,-16.3033605087773,-16.7185384321055,14.6639545450699,15.3049520943505,14.5905975447041,-32.8926997018008,-31.9119474041601,-32.8513986531955,2,414.415155205,"Online NN-DPD adaptation",6
S4,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-3.99773453198372,-3.22960700692793,-1.00208307355501,63.1121933275394,68.9476787842117,89.1037221550312,-18.5329532735356,-17.6578776744418,-12.7554553679951,0,3.766349081,"Vieillissement lent du PA",6
S4,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-19.894946265875,-19.3803092962541,-17.7918242881369,10.121681954652,10.7395116928247,12.894627049796,-34.7334661513717,-34.8143561526662,-31.583301233225,0,3.802699216,"Static MP-DPD baseline",6
S4,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-19.9817750828969,-19.5113372367332,-17.9309616223844,10.0210042392846,10.578720386966,12.6897164771502,-34.7214797922861,-34.8905067094327,-31.8137889865229,0,3.814250006,"Static GMP-DPD baseline",6
S4,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-20.370215554342,-20.1808098428856,-17.9515611695027,9.58272934924887,9.79398665342333,12.6596570709277,-31.9728904257163,-31.5769604976632,-27.9174159204229,0,410.457375572,"Offline NN-DPD with fixed weights",6
S4,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-20.3323555621799,-20.1323725789875,-17.7968358700531,9.62458964367497,9.84875584091513,12.8871892578038,-31.8714778157348,-31.4669464025368,-27.6682442391009,2,414.044573841,"Online NN-DPD adaptation",6
S5,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-3.86162092282184,-4.75334024052378,-3.68547693515034,64.1089928016505,57.8539462774959,65.4223519766725,-19.0771701274052,-21.6450152479606,-20.838554375125,0,3.72157708,"Variation de charge, désadaptation ou effet VSWR",6
S5,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-11.2226233628908,-11.3617137734132,-11.2094902938605,27.470643434515,27.0342491099995,27.5122104764887,-34.8220964866129,-35.9448753011989,-34.9048409283329,0,3.757430246,"Static MP-DPD baseline",6
S5,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-11.2360962786485,-11.3723784528797,-11.2228341849079,27.4280660146916,27.0010763794082,27.4699766811461,-34.8763144961494,-35.9569752632219,-34.9443580676385,0,3.769079191,"Static GMP-DPD baseline",6
S5,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-11.2637329984231,-11.4203312965322,-11.2864819364837,27.3409342240503,26.8524202341123,27.269420141409,-31.8622841314959,-32.4793960853505,-32.4040906301779,0,407.485687938,"Offline NN-DPD with fixed weights",6
S5,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-11.2600955310344,-11.4136737209125,-11.2818177876295,27.3523864284669,26.8730100131658,27.2840672063612,-31.7601738225079,-32.3445517346372,-32.2067709840939,0,408.667380872,"Online NN-DPD adaptation",6
S6,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-4.14282918149056,-2.20710110466569,-0.371188631221454,62.0666836733819,77.5612759110377,95.8165585989354,-18.7195905394963,-17.6250259258885,-11.0804151236555,0,3.857116478,"Dérive combinée thermique + puissance + mémoire + charge",6
S6,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-13.9753952193396,-14.0178586627078,-12.6791090349981,20.0092236741809,19.9116416131183,23.2297506594415,-34.4984200814915,-35.3799228834229,-29.1985710467442,0,3.896192482,"Static MP-DPD baseline",6
S6,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-13.979035120689,-14.0885321117936,-12.7268998168909,20.0008403829989,19.7502862487343,23.1022888276651,-34.5452223899989,-35.4815495759661,-29.4655529213105,0,3.908794878,"Static GMP-DPD baseline",6
